,Pos,Pld,W,D,L,GF,GA,GD,Pts,Team,PredictedPoints,PredictedPointsExtracted,PointPredDiff
2000–01,13,38,11,10,17,52,68,−16,43,Real Sociedad,Real Sociedad finished the 2000-01 La Liga season with 80 points.,80.0,37.0
2000–01,14,38,10,13,15,56,68,−12,43,Rayo Vallecano,Rayo Vallecano finished the 2000-01 La Liga season with 44 points.,44.0,1.0
2000–01,15,38,10,12,16,43,54,−11,42,Osasuna,Osasuna finished the 2000-01 La Liga season with 53 points.,53.0,11.0
2000–01,16,38,9,15,14,42,50,−8,42,Valladolid,Valladolid finished the 2000-01 La Liga season with 47 points.,47.0,5.0
2000–01,17,38,9,15,14,54,57,−3,42,Zaragoza,"In the 2000-01 La Liga season, Real Zaragoza finished with 65 points.",65.0,23.0
2000–01,18,38,11,8,19,51,67,−16,41,Oviedo,"Real Oviedo was relegated to Segunda División at the end of the 2000-01 La Liga season, and they finished with 19 points.",19.0,22.0
2000–01,19,38,10,9,19,48,62,−14,39,Racing Santander,Racing Santander finished the 2000-01 La Liga season with 55 points.,55.0,16.0
2000–01,20,38,10,9,19,40,64,−24,39,Numancia,Numancia finished the 2000-01 La Liga season with 44 points.,44.0,5.0
2001–02,1,38,21,12,5,51,27,+24,75,Valencia,Valencia finished the 2001-02 La Liga season with 75 points.,75.0,0.0
2001–02,2,38,20,8,10,65,41,+24,68,Deportivo La Coruña,Deportivo La Coruña finished the 2001-02 La Liga season with 74 points.,74.0,6.0
2001–02,3,38,19,9,10,69,44,+25,66,Real Madrid[a],"According to the records, Real Madrid finished the 2001-02 La Liga season with 66 points.",66.0,0.0
2001–02,4,38,18,10,10,65,37,+28,64,Barcelona,"In the 2001-02 La Liga season, Barcelona finished with 64 points.",64.0,0.0
2001–02,5,38,16,12,10,64,46,+18,60,Celta Vigo,Celta Vigo finished the 2001-02 La Liga season with 42 points.,42.0,18.0
2001–02,6,38,15,14,9,42,34,+8,59,Real Betis,Real Betis finished the 2001-02 La Liga season with 59 points.,59.0,0.0
2001–02,7,38,17,3,18,41,44,−3,54,Alavés[b],"According to the records, Alavés finished the 2001-02 La Liga season with 50 points.",50.0,4.0
2001–02,8,38,14,11,13,51,40,+11,53,Sevilla,Sevilla finished the 2001-02 La Liga season with 58 points.,58.0,5.0
2001–02,9,38,14,11,13,54,66,−12,53,Athletic Bilbao,Athletic Bilbao finished the 2001-02 La Liga season with 53 points.,53.0,0.0
2001–02,10,38,13,14,11,44,44,0,53,Málaga,Málaga finished the 2001-02 La Liga season with 55 points.,55.0,2.0
2001–02,11,38,13,10,15,46,52,−6,49,Rayo Vallecano,Rayo Vallecano finished the 2001-02 La Liga season with 40 points.,40.0,9.0
2001–02,12,38,13,9,16,45,58,−13,48,Valladolid,Valladolid finished the 2001-02 La Liga season with 53 points.,53.0,5.0
2001–02,13,38,13,8,17,48,54,−6,47,Real Sociedad,Real Sociedad finished the 2001-02 La Liga season with 78 points.,78.0,31.0
2001–02,14,38,13,8,17,47,56,−9,47,Espanyol,Espanyol finished the 2001-02 La Liga season with 44 points.,44.0,3.0
2001–02,15,38,11,10,17,46,55,−9,43,Villarreal,Villarreal finished the 2001-02 La Liga season with 60 points.,60.0,17.0
2001–02,16,38,11,10,17,40,52,−12,43,Mallorca,"In the 2001-02 La Liga season, Mallorca finished with 53 points.",53.0,10.0
2001–02,17,38,10,12,16,36,49,−13,42,Osasuna,Osasuna finished the 2001-02 La Liga season with 48 points.,48.0,6.0
2001–02,18,38,9,13,16,40,50,−10,40,Las Palmas,"Las Palmas was relegated to the Segunda División at the end of the 2001–02 La Liga season, and they finished with 22 points.",22.0,18.0
2001–02,19,38,10,8,20,32,58,−26,38,Tenerife,"Tenerife was relegated to the Segunda División at the end of the 2000-01 season, so they did not participate in the 2001-02 La Liga season.",,
2001–02,20,38,9,10,19,35,54,−19,37,Zaragoza,"In the 2001-02 La Liga season, Real Zaragoza finished with 45 points.",45.0,8.0
2002–03,1,38,22,12,4,86,42,+44,78,Real Madrid,Real Madrid finished the 2002-03 La Liga season with 78 points.,78.0,0.0
2002–03,2,38,22,10,6,71,45,+26,76,Real Sociedad,Real Sociedad finished the 2002-03 La Liga season with 76 points.,76.0,0.0
2002–03,3,38,22,6,10,67,47,+20,72,Deportivo La Coruña,Deportivo La Coruña finished the 2002-03 La Liga season with 72 points.,72.0,0.0
2002–03,4,38,17,10,11,45,36,+9,61,Celta Vigo,Celta Vigo finished the 2002-03 La Liga season with 49 points.,49.0,12.0
2002–03,5,38,17,9,12,56,35,+21,60,Valencia,Valencia finished the 2002-03 La Liga season with 78 points.,78.0,18.0
2002–03,6,38,15,11,12,63,47,+16,56,Barcelona,"In the 2002-03 La Liga season, Barcelona finished with 76 points.",76.0,20.0
2002–03,7,38,15,10,13,63,61,+2,55,Athletic Bilbao,Athletic Bilbao finished the 2002-03 La Liga season with 45 points.,45.0,10.0
2002–03,8,38,14,12,12,56,53,+3,54,Real Betis,Real Betis finished the 2002-03 La Liga season with 59 points.,59.0,5.0
2002–03,9,38,14,10,14,49,56,−7,52,Mallorca,"In the 2002-03 La Liga season, Mallorca finished with 71 points.",71.0,19.0
2002–03,10,38,13,11,14,38,39,−1,50,Sevilla,Sevilla finished the 2002-03 La Liga season with 55 points.,55.0,5.0
2002–03,11,38,12,11,15,40,48,−8,47,Osasuna,Osasuna finished the 2002-03 La Liga season with 48 points.,48.0,1.0
2002–03,12,38,12,11,15,51,56,−5,47,Atlético Madrid,"According to the records, Atlético Madrid finished the 2002-03 La Liga season with 12 points.",12.0,35.0
2002–03,13,38,11,13,14,44,49,−5,46,Málaga,Málaga finished the 2002-03 La Liga season with 64 points.,64.0,18.0
2002–03,14,38,12,10,16,37,40,−3,46,Valladolid,Valladolid finished the 2002-03 La Liga season with 44 points.,44.0,2.0
2002–03,15,38,11,12,15,44,53,−9,45,Villarreal,Villarreal finished the 2002-03 La Liga season with 68 points.,68.0,23.0
2002–03,16,38,13,5,20,54,64,−10,44,Racing Santander,Racing Santander finished the 2002-03 La Liga season with 54 points.,54.0,10.0
2002–03,17,38,10,13,15,48,54,−6,43,Espanyol,Espanyol finished the 2002-03 La Liga season with 45 points.,45.0,2.0
2002–03,18,38,8,12,18,35,61,−26,36,Recreativo,"Recreativo de Huelva was not in La Liga for the 2002-03 season. They were in Segunda División, the second tier of Spanish football, that season.",,
2002–03,19,38,8,11,19,38,68,−30,35,Alavés,Alavés finished the 2002-03 La Liga season with 44 points.,44.0,9.0
2002–03,20,38,7,11,20,31,62,−31,32,Rayo Vallecano,Rayo Vallecano finished the 2002-03 La Liga season with 39 points.,39.0,7.0
2003–04,1,38,23,8,7,71,27,+44,77,Valencia,Valencia finished the 2003-04 La Liga season with 79 points.,79.0,2.0
2003–04,2,38,21,9,8,63,39,+24,72,Barcelona,"In the 2003-04 La Liga season, Barcelona finished with 72 points.",72.0,0.0
2003–04,3,38,21,8,9,60,34,+26,71,Deportivo La Coruña,Deportivo La Coruña finished the 2003-04 La Liga season with 74 points.,74.0,3.0
2003–04,4,38,21,7,10,72,54,+18,70,Real Madrid,Real Madrid finished the 2003-04 La Liga season with 77 points.,77.0,7.0
2003–04,5,38,15,11,12,53,49,+4,56,Athletic Bilbao,Athletic Bilbao finished the 2003-04 La Liga season with 56 points.,56.0,0.0
2003–04,6,38,15,10,13,56,45,+11,55,Sevilla,Sevilla finished the 2003-04 La Liga season with 52 points.,52.0,3.0
2003–04,7,38,15,10,13,51,53,−2,55,Atlético Madrid,"In the 2003-04 La Liga season, Atlético Madrid finished with 55 points.",55.0,0.0
2003–04,8,38,15,9,14,47,49,−2,54,Villarreal,Villarreal finished the 2003-04 La Liga season with 54 points.,54.0,0.0
2003–04,9,38,13,13,12,46,43,+3,52,Real Betis,Real Betis finished the 2003-04 La Liga season with 61 points.,61.0,9.0
2003–04,10,38,15,6,17,50,55,−5,51,Málaga,Málaga finished the 2003-04 La Liga season with 61 points.,61.0,10.0
2003–04,11,38,15,6,17,54,66,−12,51,Mallorca,"In the 2003-04 La Liga season, Mallorca finished with 52 points.",52.0,1.0
2003–04,12,38,13,9,16,46,55,−9,48,Zaragoza,"In the 2003-04 La Liga season, Real Zaragoza finished with 48 points.",48.0,0.0
2003–04,13,38,11,15,12,38,37,+1,48,Osasuna,Osasuna finished the 2003-04 La Liga season with 48 points.,48.0,0.0
2003–04,14,38,13,8,17,40,48,−8,47,Albacete,Albacete finished the 2003-04 La Liga season with 22 points.,22.0,25.0
2003–04,15,38,11,13,14,49,53,−4,46,Real Sociedad,Real Sociedad finished the 2003-04 La Liga season with 79 points.,79.0,33.0
2003–04,16,38,13,4,21,48,64,−16,43,Espanyol,Espanyol finished the 2003-04 La Liga season with 44 points.,44.0,1.0
2003–04,17,38,11,10,17,48,63,−15,42,Racing Santander[e],"According to the records, Racing Santander finished the 2003-04 La Liga season with 44 points.",44.0,2.0
2003–04,18,38,10,11,17,46,56,−10,41,Valladolid,Valladolid finished the 2003-04 La Liga season with 46 points.,46.0,5.0
2003–04,19,38,9,12,17,48,68,−20,39,Celta Vigo,Celta Vigo finished the 2003-04 La Liga season with 30 points.,30.0,9.0
2003–04,20,38,5,11,22,29,57,−28,26,Murcia,"Murcia did not play in the 2003-04 La Liga season. They were promoted to La Liga for the 2003-04 season, but they were relegated to Segunda División at the end of the 2002-03 season.",,
2004–05,1,38,25,9,4,73,29,+44,84,Barcelona,Barcelona finished the 2004-05 La Liga season with 84 points.,84.0,0.0
2004–05,2,38,25,5,8,71,32,+39,80,Real Madrid,Real Madrid finished the 2004-05 La Liga season with 80 points.,80.0,0.0
2004–05,3,38,18,11,9,69,37,+32,65,Villarreal,Villarreal finished the 2004-05 La Liga season with 65 points.,65.0,0.0
2004–05,4,38,16,14,8,62,50,+12,62,Real Betis,Real Betis finished the 2004-05 La Liga season with 51 points.,51.0,11.0
2004–05,5,38,17,10,11,54,46,+8,61,Espanyol,Espanyol finished the 2004-05 La Liga season with 47 points.,47.0,14.0
2004–05,6,38,17,9,12,44,41,+3,60,Sevilla,Sevilla finished the 2004-05 La Liga season with 77 points.,77.0,17.0
2004–05,7,38,14,16,8,54,39,+15,58,Valencia,Valencia finished the 2004-05 La Liga season with 77 points.,77.0,19.0
2004–05,8,38,12,15,11,46,50,−4,51,Deportivo La Coruña,Deportivo La Coruña finished the 2004-05 La Liga season with 76 points.,76.0,25.0
2004–05,9,38,14,9,15,59,54,+5,51,Athletic Bilbao,Athletic Bilbao finished the 2004-05 La Liga season with 54 points.,54.0,3.0
2004–05,10,38,15,6,17,40,48,−8,51,Málaga,Málaga finished the 2004-05 La Liga season with 44 points.,44.0,7.0
2004–05,11,38,13,11,14,40,34,+6,50,Atlético Madrid,"In the 2004-05 La Liga season, Atlético Madrid finished with 76 points.",76.0,26.0
2004–05,12,38,14,8,16,52,57,−5,50,Zaragoza,"In the 2004-05 La Liga season, Real Zaragoza finished with 56 points.",56.0,6.0
2004–05,13,38,12,11,15,38,46,−8,47,Getafe,Getafe finished the 2004-05 La Liga season with 47 points.,47.0,0.0
2004–05,14,38,13,8,17,47,56,−9,47,Real Sociedad,Real Sociedad finished the 2004-05 La Liga season with 47 points.,47.0,0.0
2004–05,15,38,12,10,16,46,65,−19,46,Osasuna,Osasuna finished the 2004-05 La Liga season with 68 points.,68.0,22.0
2004–05,16,38,12,8,18,41,58,−17,44,Racing Santander,Racing Santander finished the 2004-05 La Liga season with 44 points.,44.0,0.0
2004–05,17,38,10,9,19,42,63,−21,39,Mallorca,Mallorca finished the 2004-05 La Liga season with 58 points.,58.0,19.0
2004–05,18,38,9,10,19,39,58,−19,37,Levante,"Levante was relegated to the Segunda División at the end of the 2004-05 La Liga season, and they finished with 37 points.",37.0,0.0
2004–05,19,38,6,11,21,30,61,−31,29,Numancia,Numancia finished the 2004-05 La Liga season with 39 points.,39.0,10.0
2004–05,20,38,6,10,22,33,56,−23,28,Albacete,Albacete finished the 2004-05 La Liga season with 30 points.,30.0,2.0
2005–06,1,38,25,7,6,80,35,+45,82,Barcelona,Barcelona finished the 2005-06 La Liga season with 82 points.,82.0,0.0
2005–06,2,38,20,10,8,70,40,+30,70,Real Madrid,Real Madrid finished the 2005-06 La Liga season with 70 points.,70.0,0.0
2005–06,3,38,19,12,7,58,33,+25,69,Valencia,Valencia finished the 2005-06 La Liga season with 69 points.,69.0,0.0
2005–06,4,38,21,5,12,49,43,+6,68,Osasuna,Osasuna finished the 2005-06 La Liga season with 50 points.,50.0,18.0
2005–06,5,38,20,8,10,54,39,+15,68,Sevilla,Sevilla finished the 2005-06 La Liga season with 68 points.,68.0,0.0
2005–06,6,38,20,4,14,45,33,+12,64,Celta Vigo,Celta Vigo finished the 2005-06 La Liga season with 24 points.,24.0,40.0
2005–06,7,38,14,15,9,50,39,+11,57,Villarreal,Villarreal finished the 2005-06 La Liga season with 62 points.,62.0,5.0
2005–06,8,38,15,10,13,47,45,+2,55,Deportivo La Coruña,Deportivo La Coruña finished the 2005-06 La Liga season with 74 points.,74.0,19.0
2005–06,9,38,15,9,14,54,49,+5,54,Getafe,Getafe finished the 2005-06 La Liga season with 54 points.,54.0,0.0
2005–06,10,38,13,13,12,45,37,+8,52,Atlético Madrid,"In the 2005-06 La Liga season, Atlético Madrid finished with 64 points.",64.0,12.0
2005–06,11,38,10,16,12,46,51,−5,46,Zaragoza,"In the 2005-06 La Liga season, Real Zaragoza finished with 46 points.",46.0,0.0
2005–06,12,38,11,12,15,40,46,−6,45,Athletic Bilbao,Athletic Bilbao finished the 2005-06 La Liga season with 51 points.,51.0,6.0
2005–06,13,38,10,13,15,37,51,−14,43,Mallorca,"In the 2005-06 La Liga season, Mallorca finished with 59 points.",59.0,16.0
2005–06,14,38,10,12,16,34,51,−17,42,Real Betis,Real Betis finished the 2005-06 La Liga season with 61 points.,61.0,19.0
2005–06,15,38,10,11,17,36,56,−20,41,Espanyol,Espanyol finished the 2005-06 La Liga season with 47 points.,47.0,6.0
2005–06,16,38,11,7,20,48,65,−17,40,Real Sociedad,Real Sociedad finished the 2005-06 La Liga season with 48 points.,48.0,8.0
2005–06,17,38,9,13,16,36,49,−13,40,Racing Santander,Racing Santander finished the 2005-06 La Liga season with 44 points.,44.0,4.0
2005–06,18,38,9,12,17,35,54,−19,39,Alavés,Alavés finished the 2005-06 La Liga season with 39 points.,39.0,0.0
2005–06,19,38,8,12,18,36,52,−16,36,Cádiz,Cádiz finished the 2005-06 La Liga season with 36 points.,36.0,0.0
2005–06,20,38,5,9,24,36,68,−32,24,Málaga,Málaga finished the 2005-06 La Liga season with 44 points.,44.0,20.0
2006–07,1,38,23,7,8,66,40,+26,76,Real Madrid,Real Madrid finished the 2006-07 La Liga season with 76 points.,76.0,0.0
2006–07,2,38,22,10,6,78,33,+45,76,Barcelona,Barcelona finished the 2006-07 La Liga season with 76 points.,76.0,0.0
2006–07,3,38,21,8,9,64,35,+29,71,Sevilla,Sevilla finished the 2006-07 La Liga season with 71 points.,71.0,0.0
2006–07,4,38,20,6,12,57,42,+15,66,Valencia,Valencia finished the 2006-07 La Liga season with 78 points.,78.0,12.0
2006–07,5,38,18,8,12,48,44,+4,62,Villarreal,Villarreal finished the 2006-07 La Liga season with 75 points.,75.0,13.0
2006–07,6,38,16,12,10,55,43,+12,60,Zaragoza,"In the 2006-07 La Liga season, Real Zaragoza finished with 46 points.",46.0,14.0
2006–07,7,38,17,9,12,46,39,+7,60,Atlético Madrid,"In the 2006-07 La Liga season, Atlético Madrid finished with 60 points.",60.0,0.0
2006–07,8,38,15,9,14,54,52,+2,54,Recreativo Huelva,Recreativo Huelva finished the 2006-07 La Liga season with 54 points.,54.0,0.0
2006–07,9,38,14,10,14,39,33,+6,52,Getafe,Getafe finished the 2006-07 La Liga season with 54 points.,54.0,2.0
2006–07,10,38,12,14,12,42,48,−6,50,Racing Santander,Racing Santander finished the 2006-07 La Liga season with 40 points.,40.0,10.0
2006–07,11,38,12,13,13,46,53,−7,49,Espanyol,Espanyol finished the 2006-07 La Liga season with 60 points.,60.0,11.0
2006–07,12,38,14,7,17,41,47,−6,49,Mallorca,Mallorca finished the 2006-07 La Liga season with 42 points.,42.0,7.0
2006–07,13,38,12,11,15,32,45,−13,47,Deportivo La Coruña,Deportivo La Coruña finished the 2006-07 La Liga season with 54 points.,54.0,7.0
2006–07,14,38,13,7,18,51,49,+2,46,Osasuna,Osasuna finished the 2006-07 La Liga season with 50 points.,50.0,4.0
2006–07,15,38,10,12,16,37,53,−16,42,Levante,"Levante was relegated to the Segunda División at the end of the 2005-06 season, so they did not participate in the 2006-07 La Liga season.",,
2006–07,16,38,8,16,14,36,49,−13,40,Real Betis,Real Betis finished the 2006-07 La Liga season with 48 points.,48.0,8.0
2006–07,17,38,10,10,18,44,62,−18,40,Athletic Bilbao,Athletic Bilbao finished the 2006-07 La Liga season with 40 points.,40.0,0.0
2006–07,18,38,10,9,19,40,59,−19,39,Celta Vigo,Celta Vigo finished the 2006-07 La Liga season with 40 points.,40.0,1.0
2006–07,19,38,8,11,19,32,47,−15,35,Real Sociedad,Real Sociedad finished the 2006-07 La Liga season with 53 points.,53.0,18.0
2006–07,20,38,7,7,24,34,69,−35,28,Gimnàstic,Gimnàstic de Tarragona finished the 2006-07 La Liga season with 28 points.,28.0,0.0
2007–08,1,38,27,4,7,84,36,+48,85,Real Madrid,Real Madrid finished the 2007-08 La Liga season with 85 points.,85.0,0.0
2007–08,2,38,24,5,9,63,40,+23,77,Villarreal,Villarreal finished the 2007-08 La Liga season with 77 points.,77.0,0.0
2007–08,3,38,19,10,9,76,43,+33,67,Barcelona,"In the 2007-08 La Liga season, Barcelona finished with 67 points.",67.0,0.0
2007–08,4,38,19,7,12,66,47,+19,64,Atlético Madrid,"In the 2007-08 La Liga season, Atlético Madrid finished with 64 points.",64.0,0.0
2007–08,5,38,20,4,14,75,49,+26,64,Sevilla,Sevilla finished the 2007-08 La Liga season with 75 points.,75.0,11.0
2007–08,6,38,17,9,12,42,41,+1,60,Racing Santander,Racing Santander finished the 2007-08 La Liga season with 46 points.,46.0,14.0
2007–08,7,38,15,14,9,69,54,+15,59,Mallorca,Mallorca finished the 2007-08 La Liga season with 69 points.,69.0,10.0
2007–08,8,38,14,10,14,42,45,−3,52,Almería,Almería finished the 2007-08 La Liga season with 52 points.,52.0,0.0
2007–08,9,38,15,7,16,46,47,−1,52,Deportivo La Coruña,Deportivo La Coruña finished the 2007-08 La Liga season with 52 points.,52.0,0.0
2007–08,10,38,15,6,17,48,62,−14,51,Valencia,Valencia finished the 2007-08 La Liga season with 75 points.,75.0,24.0
2007–08,11,38,13,11,14,40,43,−3,50,Athletic Bilbao,Athletic Bilbao finished the 2007-08 La Liga season with 50 points.,50.0,0.0
2007–08,12,38,13,9,16,43,53,−10,48,Espanyol,Espanyol finished the 2007-08 La Liga season with 60 points.,60.0,12.0
2007–08,13,38,12,11,15,45,51,−6,47,Real Betis,Real Betis finished the 2007-08 La Liga season with 36 points.,36.0,11.0
2007–08,14,38,12,11,15,44,48,−4,47,Getafe,Getafe finished the 2007-08 La Liga season with 60 points.,60.0,13.0
2007–08,15,38,11,12,15,42,57,−15,45,Valladolid,Valladolid finished the 2007-08 La Liga season with 45 points.,45.0,0.0
2007–08,16,38,11,11,16,40,60,−20,44,Recreativo Huelva,Recreativo Huelva finished the 2007-08 La Liga season with 42 points.,42.0,2.0
2007–08,17,38,12,7,19,37,44,−7,43,Osasuna,Osasuna finished the 2007-08 La Liga season with 48 points.,48.0,5.0
2007–08,18,38,10,12,16,50,61,−11,42,Zaragoza,"In the 2007-08 La Liga season, Real Zaragoza finished with 50 points.",50.0,8.0
2007–08,19,38,7,9,22,36,65,−29,30,Murcia,Murcia finished the 2007-08 La Liga season with 30 points.,30.0,0.0
2007–08,20,38,7,5,26,33,75,−42,26,Levante,"Levante was relegated to the Segunda División at the end of the 2007-08 La Liga season, and they finished with 42 points.",42.0,16.0
2008–09,1,38,27,6,5,105,35,+70,87,Barcelona,Barcelona finished the 2008-09 La Liga season with 87 points.,87.0,0.0
2008–09,2,38,25,3,10,83,52,+31,78,Real Madrid,Real Madrid finished the 2008-09 La Liga season with 78 points.,78.0,0.0
2008–09,3,38,21,7,10,54,39,+15,70,Sevilla,Sevilla finished the 2008-09 La Liga season with 70 points.,70.0,0.0
2008–09,4,38,20,7,11,80,57,+23,67,Atlético Madrid,"In the 2008-09 La Liga season, Atlético Madrid finished with 72 points.",72.0,5.0
2008–09,5,38,18,11,9,61,54,+7,65,Villarreal,Villarreal finished the 2008-09 La Liga season with 65 points.,65.0,0.0
2008–09,6,38,18,8,12,68,54,+14,62,Valencia,Valencia finished the 2008-09 La Liga season with 62 points.,62.0,0.0
2008–09,7,38,16,10,12,48,47,+1,58,Deportivo La Coruña,Deportivo La Coruña finished the 2008-09 La Liga season with 47 points.,47.0,11.0
2008–09,8,38,15,10,13,55,59,−4,55,Málaga,Málaga finished the 2008-09 La Liga season with 47 points.,47.0,8.0
2008–09,9,38,14,9,15,53,60,−7,51,Mallorca,Mallorca finished the 2008-09 La Liga season with 59 points.,59.0,8.0
2008–09,10,38,12,11,15,46,49,−3,47,Espanyol,Espanyol finished the 2008-09 La Liga season with 47 points.,47.0,0.0
2008–09,11,38,13,7,18,45,61,−16,46,Almería,Almería finished the 2008-09 La Liga season with 47 points.,47.0,1.0
2008–09,12,38,12,10,16,49,48,+1,46,Racing Santander,Racing Santander finished the 2008-09 La Liga season with 39 points.,39.0,7.0
2008–09,13,38,12,8,18,47,62,−15,44,Athletic Bilbao,Athletic Bilbao finished the 2008-09 La Liga season with 47 points.,47.0,3.0
2008–09,14,38,14,1,23,47,79,−32,43,Sporting Gijón,Sporting Gijón finished the 2008-09 La Liga season with 47 points.,47.0,4.0
2008–09,15,38,10,13,15,41,47,−6,43,Osasuna,Osasuna finished the 2008-09 La Liga season with 43 points.,43.0,0.0
2008–09,16,38,12,7,19,46,58,−12,43,Valladolid,Valladolid finished the 2008-09 La Liga season with 47 points.,47.0,4.0
2008–09,17,38,10,12,16,50,56,−6,42,Getafe,Getafe finished the 2008-09 La Liga season with 58 points.,58.0,16.0
2008–09,18,38,10,12,16,51,58,−7,42,Real Betis,Real Betis finished the 2008-09 La Liga season with 42 points.,42.0,0.0
2008–09,19,38,10,5,23,38,69,−31,35,Numancia,Numancia finished the 2008-09 La Liga season with 35 points.,35.0,0.0
2008–09,20,38,8,9,21,34,57,−23,33,Recreativo Huelva,Recreativo Huelva finished the 2008-09 La Liga season with 42 points.,42.0,9.0
2009–10,1,38,31,6,1,98,24,+74,99,Barcelona,Barcelona finished the 2009-10 La Liga season with 99 points.,99.0,0.0
2009–10,2,38,31,3,4,102,35,+67,96,Real Madrid,Real Madrid finished the 2009-10 La Liga season with 96 points.,96.0,0.0
2009–10,3,38,21,8,9,59,40,+19,71,Valencia,Valencia finished the 2009-10 La Liga season with 71 points.,71.0,0.0
2009–10,4,38,19,6,13,65,49,+16,63,Sevilla,Sevilla finished the 2009-10 La Liga season with 63 points.,63.0,0.0
2009–10,5,38,18,8,12,59,44,+15,62,Mallorca,Mallorca finished the 2009-10 La Liga season with 44 points.,44.0,18.0
2009–10,6,38,17,7,14,58,48,+10,58,Getafe,Getafe finished the 2009-10 La Liga season with 58 points.,58.0,0.0
2009–10,7,38,16,8,14,58,57,+1,56,Villarreal,Villarreal finished the 2009-10 La Liga season with 67 points.,67.0,11.0
2009–10,8,38,15,9,14,50,53,−3,54,Athletic Bilbao,Athletic Bilbao finished the 2009-10 La Liga season with 68 points.,68.0,14.0
2009–10,9,38,13,8,17,57,61,−4,47,Atlético Madrid,"In the 2009-10 La Liga season, Atlético Madrid finished with 72 points.",72.0,25.0
2009–10,10,38,13,8,17,35,49,−14,47,Deportivo La Coruña,Deportivo La Coruña finished the 2009-10 La Liga season with 47 points.,47.0,0.0
2009–10,11,38,11,11,16,29,46,−17,44,Espanyol,Espanyol finished the 2009-10 La Liga season with 44 points.,44.0,0.0
2009–10,12,38,11,10,17,37,46,−9,43,Osasuna,Osasuna finished the 2009-10 La Liga season with 36 points.,36.0,7.0
2009–10,13,38,10,12,16,43,55,−12,42,Almería,Almería finished the 2009-10 La Liga season with 37 points.,37.0,5.0
2009–10,14,38,10,11,17,46,64,−18,41,Zaragoza,"In the 2009-10 La Liga season, Real Zaragoza finished with 36 points.",36.0,5.0
2009–10,15,38,9,13,16,36,51,−15,40,Sporting Gijón,Sporting Gijón finished the 2009-10 La Liga season with 47 points.,47.0,7.0
2009–10,16,38,9,12,17,42,59,−17,39,Racing Santander,Racing Santander finished the 2009-10 La Liga season with 38 points.,38.0,1.0
2009–10,17,38,7,16,15,42,48,−6,37,Málaga,Málaga finished the 2009-10 La Liga season with 37 points.,37.0,0.0
2009–10,18,38,7,15,16,37,62,−25,36,Valladolid,Valladolid finished the 2009-10 La Liga season with 36 points.,36.0,0.0
2009–10,19,38,9,9,20,40,74,−34,36,Tenerife,Tenerife finished the 2009-10 La Liga season with 36 points.,36.0,0.0
2009–10,20,38,8,10,20,38,66,−28,34,Xerez,Xerez finished the 2009-10 La Liga season with 34 points.,34.0,0.0
2010–11,1,38,30,6,2,95,21,+74,96,Barcelona,Barcelona finished the 2010-11 La Liga season with 96 points.,96.0,0.0
2010–11,2,38,29,5,4,102,33,+69,92,Real Madrid,Real Madrid finished the 2010-11 La Liga season with 92 points.,92.0,0.0
2010–11,3,38,21,8,9,64,44,+20,71,Valencia,Valencia finished the 2010-11 La Liga season with 71 points.,71.0,0.0
2010–11,4,38,18,8,12,54,44,+10,62,Villarreal,Villarreal finished the 2010-11 La Liga season with 62 points.,62.0,0.0
2010–11,5,38,17,7,14,62,61,+1,58,Sevilla,Sevilla finished the 2010-11 La Liga season with 58 points.,58.0,0.0
2010–11,6,38,18,4,16,59,55,+4,58,Athletic Bilbao,Athletic Bilbao finished the 2010-11 La Liga season with 58 points.,58.0,0.0
2010–11,7,38,17,7,14,62,53,+9,58,Atlético Madrid,"In the 2010-11 La Liga season, Atlético Madrid finished with 58 points.",58.0,0.0
2010–11,8,38,15,4,19,46,55,−9,49,Espanyol,Espanyol finished the 2010-11 La Liga season with 49 points.,49.0,0.0
2010–11,9,38,13,8,17,45,46,−1,47,Osasuna,Osasuna finished the 2010-11 La Liga season with 48 points.,48.0,1.0
2010–11,10,38,11,14,13,35,42,−7,47,Sporting Gijón,Sporting Gijón finished the 2010-11 La Liga season with 47 points.,47.0,0.0
2010–11,11,38,13,7,18,54,68,−14,46,Málaga,Málaga finished the 2010-11 La Liga season with 58 points.,58.0,12.0
2010–11,12,38,12,10,16,41,56,−15,46,Racing Santander,Racing Santander finished the 2010-11 La Liga season with 29 points.,29.0,17.0
2010–11,13,38,12,9,17,40,53,−13,45,Zaragoza,"In the 2010-11 La Liga season, Real Zaragoza finished with 36 points.",36.0,9.0
2010–11,14,38,12,9,17,41,52,−11,45,Levante,Levante finished the 2010-11 La Liga season with 62 points.,62.0,17.0
2010–11,15,38,14,3,21,49,66,−17,45,Real Sociedad,Real Sociedad finished the 2010-11 La Liga season with 53 points.,53.0,8.0
2010–11,16,38,12,8,18,49,60,−11,44,Getafe,Getafe finished the 2010-11 La Liga season with 47 points.,47.0,3.0
2010–11,17,38,12,8,18,41,56,−15,44,Mallorca,Mallorca finished the 2010-11 La Liga season with 44 points.,44.0,0.0
2010–11,18,38,10,13,15,31,47,−16,43,Deportivo La Coruña,Deportivo La Coruña finished the 2010-11 La Liga season with 43 points.,43.0,0.0
2010–11,19,38,9,8,21,36,60,−24,35,Hércules,Hércules finished the 2010-11 La Liga season with 35 points.,35.0,0.0
2010–11,20,38,6,12,20,36,70,−34,30,Almería,Almería finished the 2010-11 La Liga season with 30 points.,30.0,0.0
